Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
152,Tarik Cohen,CHI,RB,11,DET,2,14,7,1,0,0,0,0,0,0,7.4,7.4
152,Kenyan Drake,MIA,RB,15,BUF,5,14,2.8,1,0,0,0,0,0,0,7.4,7.4
152,Dion Lewis,NE,RB,15,PIT,3,14,4.7,1,0,0,0,0,0,0,7.4,7.4
152,Derrick Henry,TEN,RB,14,ARI,2,14,7,1,0,0,0,0,0,0,7.4,7.4
152,Deandre Washington,OAK,RB,8,BUF,0,0,0,0,1,1,4,1,0,0,7.4,7.4
159,Tion Green,DET,RB,16,CIN,3,13,4.3,1,0,0,0,0,0,0,7.3,7.3
159,Charcandrick West,KC,RB,14,OAK,1,13,13,1,1,0,0,0,0,0,7.3,7.3
159,Samaje Perine,WAS,RB,6,SF,0,0,0,0,1,1,3,1,0,0,7.3,7.3
159,James White,NE,RB,14,MIA,0,0,0,0,1,1,3,1,0,0,7.3,7.3
163,LeGarrette Blount,PHI,RB,8,SF,1,12,12,1,0,0,0,0,0,0,7.2,7.2
163,Rod Smith,DAL,RB,13,WAS,5,12,2.4,1,0,0,0,0,0,0,7.2,7.2
163,Leonard Fournette,JAX,RB,1,HOU,7,12,1.7,1,0,0,0,0,0,0,7.2,7.2
163,Le'Veon Bell,PIT,RB,3,CHI,4,12,3,1,0,0,0,0,0,0,7.2,7.2
163,Cameron Artis-Payne,CAR,RB,10,MIA,1,12,12,1,0,0,0,0,0,0,7.2,7.2
163,Samaje Perine,WAS,RB,11,NO,5,12,2.4,1,0,0,0,0,0,0,7.2,7.2
163,Duke Johnson,CLE,RB,15,BAL,1,12,12,1,1,0,0,0,0,0,7.2,7.2
163,Jerick McKinnon,MIN,RB,13,ATL,1,0,0,0,1,1,2,1,0,0,7.2,7.2
163,Elijah McGuire,NYJ,RB,15,NO,0,0,0,0,1,1,2,1,0,0,7.2,7.2
172,Doug Martin,TB,RB,5,NE,2,11,5.5,1,0,0,0,0,0,0,7.1,7.1
172,Alvin Kamara,NO,RB,8,CHI,2,11,5.5,1,0,0,0,0,0,0,7.1,7.1
172,Devontae Booker,DEN,RB,8,KC,4,11,2.8,1,0,0,0,0,0,0,7.1,7.1
172,Devonta Freeman,ATL,RB,1,CHI,2,11,5.5,1,0,0,0,0,0,0,7.1,7.1
172,Frank Gore,IND,RB,3,CLE,3,11,3.7,1,0,0,0,0,0,0,7.1,7.1
