Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,Projections
Deontay Burnett,3300,37.36,FALSE,3,44,20.5,133,NYJ,3,2.5,83.3,35,0,11.7,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7.465156405
Phillip Dorsett,3600,38.21,TRUE,-5.5,56.5,31,75,NE,3.75,2.5,66.7,24.75,0.25,6.6,9.9,0,0,0,0,6.5,0.625,0.5,80,3.375,0.25,5.4,6.8,0,0,0,0,2.3,7.37679094
Kendrick Bourne,3600,38.57,TRUE,-1,44,22.5,81,SF,3.625,2.125,58.6,23.875,0.25,6.6,11.2,0,0,0,0,6,0.5,0.375,75,1.75,0.25,3.5,4.7,0,0,0,0,2,7.325329656
Trent Taylor,3700,38.57,TRUE,-1,44,22.5,92,SF,4,2.571428571,64.3,19.71428571,0.142857143,4.9,7.7,0,0,0,0,5.4,0.571428571,0.428571429,75,2.285714286,0.142857143,4,5.3,0,0,0,0,1.5,6.987920208
Bruce Ellington,3000,36.84,FALSE,1,46,22.5,115,HOU,4,2.666666667,66.7,30.66666667,0.333333333,7.7,11.5,0,0,0,0,7.7,0.666666667,0.666666667,100,6.333333333,0.333333333,9.5,9.5,0,0,0,0,3.3,6.919386466
Tim Patrick,3000,35.88,TRUE,-1,46,23.5,127,DEN,0.75,0.375,50,7,0.125,9.3,18.7,0.125,1.625,13,0,2,0.125,0,0,0,0,0,0,0,0,0,0,0,6.828815131
Travis Benjamin,3500,37.56,FALSE,1,48,23.5,147,LAC,2.333333333,1,42.9,5.333333333,0,2.3,5.3,0.333333333,6.333333333,19,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,6.787049034
Taywan Taylor,3600,29.7,FALSE,5.5,40.5,17.5,89,TEN,4,2.714285714,67.9,27.14285714,0.142857143,6.8,10,0,0,0,0,6.1,0.571428571,0.428571429,75,4.428571429,0.142857143,7.8,10.3,0,0,0,0,1.7,6.667408194
Andre Holmes,3100,43.06,TRUE,10,37.5,13.75,116,BUF,2.625,1.25,47.6,16.125,0,6.1,12.9,0,0,0,0,2.9,0.25,0.125,50,0.375,0,1.5,3,0,0,0,0,0.2,6.645589003
Chris Moore,3000,44.61,TRUE,-3,47.5,25.25,119,BAL,1.75,1.375,78.6,12.25,0,7,8.9,0.375,1.75,4.7,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,6.435956354
