Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Team,Rank,RushesGame,RushYardGame,YardAttempt,RushTdGame,TargetsGame,RecGame,RecYardsGame,RecTdGame,PointsGame,RZattemptsGame,RZyardsGame,RZYardAtt,RZTDGame,RZTarGame,RZRecGame,RZRecYarGame,RZRecTDGame,RZPointsGame,Projections
Michael Burton,3000,28.11,FALSE,-10,37.5,23.75,CHI,117,0,0,0,0,0.333333333,0.333333333,2,0,0.5,0,0,0,0,0,0,0,0,0,2.93142465
Cameron Artis-Payne,3000,29.43,TRUE,-6,55,30.5,CAR,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.926152902
Alan Cross,2500,20.64,FALSE,6,55,24.5,TB,117,0,0,0,0,0.428571429,0.142857143,0.857142857,0,0.2,0,0,0,0,0.142857143,0,0,0,0,2.83105152
Justin Davis,3000,19.04,FALSE,-1,60,30.5,LAR,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.801335736
Ricky Ortiz,3000,19.96,FALSE,1.5,48.5,23.5,ATL,112,0,0,0,0,0.428571429,0.285714286,1,0,0.4,0,0,0,0,0,0,0,0,0,2.772793854
Roosevelt Nix,3000,15.7,FALSE,3,47.5,22.25,PIT,110,0,0,0,0,0.285714286,0.142857143,2.714285714,0,0.4,0,0,0,0,0,0,0,0,0,2.643671962
Derek Watt,3000,22.44,FALSE,1,48,23.5,LAC,134,0.142857143,0.142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47475098
Brandon Bolden,3000,25.45,TRUE,-3,44,23.5,MIA,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.345413256
Senorise Perry,3000,25.45,TRUE,-3,44,23.5,MIA,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.345413256
Detrez Newsome,3000,22.44,FALSE,1,48,23.5,LAC,135,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.313890063
Brian Hill,3000,19.96,FALSE,1.5,48.5,23.5,ATL,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.265752046
Gregory Howell Jr.,3000,28.29,FALSE,1,46,22.5,HOU,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.264978971
David Fluellen,3000,22.43,FALSE,5.5,40.5,17.5,TEN,130,0.2,0.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.203533491
Patrick DiMarco,3000,17.41,TRUE,10,37.5,13.75,BUF,102,0,0,0,0,0.25,0.25,3,0,0.6,0,0,0,0,0,0,0,0,0,2.0996706
Taiwan Jones,3000,17.41,TRUE,10,37.5,13.75,BUF,135,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1.504617773
