Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
185,J'mon Moore,GB,WR,7,1,1,100,10,0,10,10,10,0,0,0,0,0,0,0.3,2
185,Victor Bolden Jr.,SF,WR,4,4,1,25,10,0,10,2.5,10,0,0,0,0,0,0,0.5,2
188,Russell Gage,ATL,WR,10,1,1,100,9,0,9,9,9,0,0,0,0,0,0,0.2,1.9
188,Darrius Heyward-Bey,PIT,WR,9,1,1,100,9,0,9,9,9,0,0,0,0,0,0,0.2,1.9
188,Cam Phillips,BUF,WR,2,1,1,100,9,0,9,9,9,0,0,0,0,0,0,1,1.9
191,Damiere Byrd,CAR,WR,8,2,1,50,8,0,8,4,8,0,0,0,0,0,0,0.2,1.8
191,Keon Hatcher,OAK,WR,2,2,1,50,8,0,8,4,8,0,0,0,0,0,0,0.9,1.8
193,Marcus Kemp,KC,WR,11,2,1,50,7,0,7,3.5,7,0,0,0,0,0,0,0.2,1.7
194,Brandon Powell,DET,WR,3,3,1,33.3,6,0,6,2,6,0,0,0,0,0,0,0.5,1.6
195,Justin Watson,TB,WR,8,1,1,100,5,0,5,5,5,0,0,0,0,0,0,0.2,1.5
196,Andy Jones,DET,WR,2,3,1,33.3,4,0,4,1.3,4,0,0,0,0,0,0,0.7,1.4
197,Mike Wallace,PHI,WR,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Markus Wheaton,PHI,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Deante Burton,GB,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Matthew Slater,NE,WR,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Freddie Martino,TB,WR,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Tanner McEvoy,MIA,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
