Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
433,Marcus Murphy,BUF,RB,3,MIN,8,33,4.1,0,1,1,1,0,0,0,4.4,4.4
433,Austin Ekeler,LAC,RB,9,SEA,3,21,7,0,2,1,13,0,0,0,4.4,4.4
435,Chris Ivory,BUF,RB,5,TEN,14,43,3.1,0,0,0,0,0,0,0,4.3,4.3
435,Doug Martin,OAK,RB,3,MIA,9,43,4.8,0,0,0,0,0,0,0,4.3,4.3
435,Frank Gore,MIA,RB,7,DET,10,29,2.9,0,1,1,4,0,0,0,4.3,4.3
435,Malcolm Brown,LAR,RB,1,OAK,1,5,5,0,2,2,18,0,0,0,4.3,4.3
435,Theo Riddick,DET,RB,5,GB,3,3,1,0,3,2,20,0,0,0,4.3,4.3
435,Kyle Juszczyk,SF,FB,2,DET,0,0,0,0,4,3,13,0,0,0,4.3,4.3
435,Wayne Gallman,NYG,RB,4,NO,2,6,3,0,3,3,17,0,1,1,4.3,4.3
442,Latavius Murray,MIN,RB,1,SF,11,42,3.8,0,0,0,0,0,0,0,4.2,4.2
442,Gus Edwards,BAL,RB,6,TEN,10,42,4.2,0,0,0,0,0,0,0,4.2,4.2
442,Alfred Blue,HOU,RB,8,MIA,15,42,2.8,0,0,0,0,0,0,0,4.2,4.2
442,Matt Breida,SF,RB,8,ARI,16,42,2.6,0,0,0,0,0,0,0,4.2,4.2
442,Malcolm Brown,LAR,RB,3,LAC,5,42,8.4,0,1,0,0,0,0,0,4.2,4.2
442,Andy Janovich,DEN,FB,4,KC,0,0,0,0,1,1,32,0,0,0,4.2,4.2
442,Chris Thompson,WAS,RB,8,NYG,3,13,4.3,0,3,2,9,0,0,0,4.2,4.2
442,Corey Clement,PHI,RB,7,CAR,8,6,0.8,0,2,2,16,0,1,0,4.2,4.2
450,Aaron Jones,GB,RB,6,SF,8,41,5.1,0,1,0,0,0,0,0,4.1,4.1
450,Derrick Henry,TEN,RB,1,MIA,10,26,2.6,0,1,1,5,0,0,0,4.1,4.1
450,Jeremy Hill,NE,RB,1,HOU,4,25,6.2,0,1,1,6,0,0,0,4.1,4.1
453,Chris Carson,SEA,RB,9,LAC,8,40,5,0,0,0,0,0,0,0,4,4
453,Peyton Barber,TB,RB,4,CHI,7,24,3.4,0,2,1,6,0,0,0,4,4
453,Jordan Wilkins,IND,RB,3,PHI,6,19,3.2,0,2,2,1,0,0,0,4,4
456,Alfred Blue,HOU,RB,9,DEN,15,39,2.6,0,0,0,0,0,0,0,3.9,3.9
456,Peyton Barber,TB,RB,2,PHI,16,22,1.4,0,2,1,7,0,0,0,3.9,3.9
458,Ronald Jones II,TB,RB,4,CHI,10,29,2.9,0,2,1,-1,0,0,0,3.8,3.8
459,Doug Martin,OAK,RB,1,LAR,4,20,5,0,2,2,-3,0,0,0,3.7,3.7
459,Corey Grant,JAX,RB,4,NYJ,1,5,5,0,3,2,12,0,0,0,3.7,3.7
459,Jacquizz Rodgers,TB,RB,3,PIT,2,-1,-0.5,0,3,2,18,0,0,0,3.7,3.7
462,Alfred Blue,HOU,RB,2,TEN,7,36,5.1,0,0,0,0,0,0,0,3.6,3.6
462,Kenjon Barner,NE,RB,7,CHI,10,36,3.6,0,0,0,0,0,0,0,3.6,3.6
462,Mike Davis,SEA,RB,6,OAK,6,21,3.5,0,3,1,5,0,0,0,3.6,3.6
462,Derrick Henry,TEN,RB,6,BAL,7,21,3,0,1,1,5,0,0,0,3.6,3.6
462,LeGarrette Blount,DET,RB,8,SEA,3,3,1,0,1,1,23,0,0,0,3.6,3.6
462,Duke Johnson,CLE,RB,8,PIT,2,0,0,0,3,2,16,0,0,0,3.6,3.6
462,Damien Williams,KC,RB,3,SF,0,0,0,0,2,2,16,0,0,0,3.6,3.6
462,Mark Ingram,NO,RB,9,LAR,9,33,3.7,0,2,1,3,0,1,1,3.6,3.6
470,CJ Anderson,CAR,RB,1,DAL,7,35,5,0,0,0,0,0,0,0,3.5,3.5
470,Duke Johnson,CLE,RB,1,PIT,5,17,3.4,0,6,1,8,0,0,0,3.5,3.5
470,Tarik Cohen,CHI,RB,2,SEA,4,8,2,0,1,1,17,0,0,0,3.5,3.5
470,Bilal Powell,NYJ,RB,7,MIN,5,20,4,0,1,1,5,0,0,0,3.5,3.5
470,Devontae Booker,DEN,RB,1,SEA,2,4,2,0,2,2,11,0,0,0,3.5,3.5
470,Kyle Juszczyk,SF,FB,4,LAC,0,0,0,0,3,2,15,0,0,0,3.5,3.5
470,Sony Michel,NE,RB,7,CHI,4,22,5.5,0,1,1,13,0,1,1,3.5,3.5
470,Kalen Ballage,MIA,RB,9,NYJ,1,-2,-2,0,2,2,17,0,0,0,3.5,3.5
478,Carlos Hyde,CLE,RB,6,LAC,14,34,2.4,0,0,0,0,0,0,0,3.4,3.4
478,Patrick DiMarco,BUF,FB,2,LAC,0,0,0,0,1,1,24,0,0,0,3.4,3.4
478,Doug Martin,OAK,RB,2,DEN,7,24,3.4,0,1,1,0,0,0,0,3.4,3.4
478,Dontrell Hilliard,CLE,RB,8,PIT,0,0,0,0,1,1,24,0,0,0,3.4,3.4
478,Dion Lewis,TEN,RB,6,BAL,5,9,1.8,0,2,2,5,0,0,0,3.4,3.4
478,Spencer Ware,KC,RB,6,NE,2,5,2.5,0,3,2,9,0,0,0,3.4,3.4
478,Jay Ajayi,PHI,RB,5,MIN,8,29,3.6,0,1,1,5,0,1,1,3.4,3.4
485,Peyton Barber,TB,RB,3,PIT,8,33,4.1,0,2,0,0,0,0,0,3.3,3.3
485,Kyle Juszczyk,SF,FB,7,LAR,1,-5,-5,0,3,2,18,0,0,0,3.3,3.3
487,Rod Smith,DAL,RB,4,DET,6,22,3.7,0,1,1,0,0,0,0,3.2,3.2
487,Keith Smith,OAK,FB,2,DEN,0,0,0,0,3,2,12,0,0,0,3.2,3.2
489,Marcus Murphy,BUF,RB,1,BAL,6,31,5.2,0,2,0,0,0,0,0,3.1,3.1
489,Alfred Blue,HOU,RB,4,IND,13,31,2.4,0,3,0,0,0,0,0,3.1,3.1
489,CJ Anderson,CAR,RB,2,ATL,3,31,10.3,0,2,0,0,0,0,0,3.1,3.1
