Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
114,Tony Lippett,NYG,WR,13,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Corey Coleman,NYG,WR,13,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Daniel Brown,CHI,WR,13,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Jawill Davis,NYG,WR,13,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Geremy Davis,LAC,WR,13,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Justin Hunter,PIT,WR,13,LAC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Darrius Heyward-Bey,PIT,WR,13,LAC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Torrey Smith,CAR,WR,13,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Jesus Wilson,TB,WR,13,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Justin Watson,TB,WR,13,CAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Chester Rogers,IND,WR,13,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Rashad Greene,JAX,WR,13,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Ryan Grant,IND,WR,13,JAX,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Sammie Coates,HOU,WR,13,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Charone Peake,NYJ,WR,13,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Darius Jennings,TEN,WR,13,NYJ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Jermaine Kearse,NYJ,WR,13,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Keon Hatcher,OAK,WR,13,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Gehrig Dieter,KC,WR,13,OAK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Marcus Kemp,KC,WR,13,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Brandon Zylstra,MIN,WR,13,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Phillip Dorsett,NE,WR,13,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Matthew Slater,NE,WR,13,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,David Moore,SEA,WR,13,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Shelton Gibson,PHI,WR,13,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Jehu Chesson,WAS,WR,13,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Maurice Harris,WAS,WR,13,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Richie James,SF,WR,13,SEA,2,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1
