Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
76,Rashard Higgins,CLE,WR,12,CIN,32,24,3500,6.67
77,Ryan Grant,IND,WR,12,MIA,21,10,3400,6.16
78,Trey Quinn,WAS,WR,12,DAL,4,4,3500,6.12
79,Chris Hogan,NE,WR,12,NYJ,16,23,3800,6
80,Allen Hurns,DAL,WR,12,WAS,10,18,3200,5.9
81,Bruce Ellington,DET,WR,12,CHI,2,17,null,5.56
82,Marcell Ateman,OAK,WR,12,BAL,1,6,3100,5.36
83,Chester Rogers,IND,WR,12,MIA,21,10,3300,5.19
84,Taywan Taylor,TEN,WR,12,HOU,8,5,3300,5.1
85,Cordarrelle Patterson,NE,WR,12,NYJ,16,23,3600,4.91
86,Laquon Treadwell,MIN,WR,12,GB,15,27,3200,4.9
87,Keelan Cole,JAX,WR,12,BUF,3,1,3300,4.89
88,TJ Jones,DET,WR,12,CHI,2,17,null,4.77
89,D.J. Chark,JAX,WR,12,BUF,3,1,3500,4.66
89,Cameron Batson,TEN,WR,12,HOU,8,5,3000,4.66
91,Kendrick Bourne,SF,WR,12,TB,31,30,3900,4.59
92,Jordan Matthews,PHI,WR,12,NYG,19,13,3300,4.55
93,Jamison Crowder,WAS,WR,12,DAL,4,4,3900,4.31
94,Ryan Switzer,PIT,WR,12,DEN,17,15,3200,4.26
94,Breshad Perriman,CLE,WR,12,CIN,32,24,3000,4.26
96,Equanimeous St. Brown,GB,WR,12,MIN,6,3,3300,4.19
97,Dante Pettis,SF,WR,12,TB,31,30,3300,4.15
98,Tim Patrick,DEN,WR,12,PIT,12,11,3000,3.99
99,Torrey Smith,CAR,WR,12,SEA,11,20,3500,3.87
100,Aldrick Robinson,MIN,WR,12,GB,15,27,3200,3.78
100,Trent Taylor,SF,WR,12,TB,31,30,3500,3.78
102,Jarius Wright,CAR,WR,12,SEA,11,20,3100,3.76
103,Chad Williams,ARI,WR,12,LAC,9,8,3000,3.59
104,Martavis Bryant,OAK,WR,12,BAL,1,6,3200,3.49
105,Travis Benjamin,LAC,WR,12,ARI,13,9,3000,3.31
105,Daesean Hamilton,DEN,WR,12,PIT,12,11,3000,3.31
107,Andre Holmes,BUF,WR,12,JAX,7,2,3000,3.2
108,Austin Carr,NO,WR,12,ATL,30,28,3000,3.14
109,Brandon Marshall,NO,WR,12,ATL,30,28,3300,3.09
110,Dwayne Harris,OAK,WR,12,BAL,1,6,3000,3.04
111,James Washington,PIT,WR,12,DEN,17,15,3300,2.93
112,Darius Jennings,TEN,WR,12,HOU,8,5,3000,2.89
113,Richie James,SF,WR,12,TB,31,30,3000,2.87
114,Corey Coleman,NYG,WR,12,PHI,24,31,3000,2.86
115,Chris Moore,BAL,WR,12,OAK,28,22,3000,2.8
116,Damion Ratley,CLE,WR,12,CIN,32,24,3000,2.78
117,Brandon Powell,DET,WR,12,CHI,2,17,null,2.76
118,Alex Erickson,CIN,WR,12,CLE,27,19,3000,2.72
119,Keith Kirkwood,NO,WR,12,ATL,30,28,3200,2.69
119,Dan Arnold,NO,WR,12,ATL,30,28,2500,2.69
121,Rishard Matthews,NYJ,WR,12,NE,23,12,3000,2.53
122,Robert Foster,BUF,WR,12,JAX,7,2,3000,2.48
123,Marvin Hall,ATL,WR,12,NO,18,32,3000,2.15
124,Cody Core,CIN,WR,12,CLE,27,19,3000,2.14
125,Chad Beebe,MIN,WR,12,GB,15,27,3000,2.09
126,Phillip Dorsett,NE,WR,12,NYJ,16,23,3300,2.04
126,JJ Nelson,ARI,WR,12,LAC,9,8,3000,2.04
128,Andy Jones,DET,WR,12,CHI,2,17,null,2.02
129,Jaron Brown,SEA,WR,12,CAR,20,16,3000,1.72
130,Bennie Fowler,NYG,WR,12,PHI,24,31,3000,1.67
131,Leonte Carroo,MIA,WR,12,IND,14,7,3000,1.6
132,Tavon Austin,DAL,WR,12,WAS,10,18,3000,1.59
132,Andre Roberts,NYJ,WR,12,NE,23,12,3000,1.59
134,Isaiah McKenzie,BUF,WR,12,JAX,7,2,3000,1.55
135,Justin Hardy,ATL,WR,12,NO,18,32,3000,1.48
135,Charone Peake,NYJ,WR,12,NE,23,12,3000,1.48
137,Josh Bellamy,CHI,WR,12,DET,25,25,null,1.45
138,Deontay Burnett,NYJ,WR,12,NE,23,12,3000,1.44
139,Kevin White,CHI,WR,12,DET,25,25,null,1.35
140,Zach Pascal,IND,WR,12,MIA,21,10,3000,1.33
