Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,Projections
Trent Taylor,4100,36.59,FALSE,1,43,21,89,SF,4.333333333,2.833333333,65.4,21.83333333,0.166666667,5,7.7,0,0,0,0,6,0.666666667,0.5,75,2.666666667,0.166666667,4,5.3,0,0,0,0,1.8,8.266205267
Damion Ratley,3600,47.12,FALSE,8,51,21.5,115,CLE,2.75,2.25,81.8,26.25,0,9.5,11.7,0,0,0,0,4.9,0.25,0.25,100,2,0,8,8,0,0,0,0,0.4,8.203756005
Deontay Burnett,3000,46.87,FALSE,7.5,44.5,18.5,168,NYJ,2,1,50,9,0,4.5,9,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,8.060830702
Curtis Samuel,3600,32.21,TRUE,2,44,21,114,CAR,1.666666667,1,60,17.66666667,0.333333333,10.6,17.7,0.666666667,3,4.5,1,7.1,0,0,0,0,0,0,0,0.333333333,4.666666667,14,0.333333333,2.5,7.687646167
Russell Shepard,3000,38.35,TRUE,1,43,21,134,NYG,1.6,0.8,50,12.2,0,7.6,15.2,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,7.608043237
Cody Core,3000,49.47,TRUE,-4,54.5,29.25,142,CIN,1.2,0.6,50,6,0,5,10,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,7.59286075
Alex Erickson,3000,49.47,TRUE,-4,54.5,29.25,128,CIN,1.428571429,1,70,5.571428571,0,3.9,5.6,0.142857143,1.142857143,8,0,1.7,0.428571429,0.142857143,33.3,0.857142857,0,2,6,0,0,0,0,0.2,7.587547282
Neal Sterling,2500,46.87,FALSE,7.5,44.5,18.5,136,NYJ,1.75,1.25,71.4,10,0,5.7,8,0,0,0,0,2.2,0.5,0.25,50,1.5,0,3,6,0,0,0,0,0.4,7.582937408
Kendrick Bourne,3500,36.59,FALSE,1,43,21,97,SF,2.714285714,1.428571429,52.6,17.14285714,0.285714286,6.3,12,0,0,0,0,4.9,0.428571429,0.285714286,66.7,0.857142857,0.285714286,2,3,0,0,0,0,2.1,7.504436065
Michael Floyd,3400,36.27,FALSE,-1,43,22,158,WAS,1.333333333,0.333333333,25,6.666666667,0,5,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.415190595
