Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Team,Rank,RushesGame,RushYardGame,YardAttempt,RushTdGame,TargetsGame,RecGame,RecYardsGame,RecTdGame,PointsGame,RZattemptsGame,RZyardsGame,RZYardAtt,RZTDGame,RZTarGame,RZRecGame,RZRecYarGame,RZRecTDGame,RZPointsGame,Projections,Score
Trenton Cannon,3400.0,18.65,False,7.5,44.5,18.5,NYJ,78.0,1.1428571428571428,2.7142857142857144,2.4,0.0,0.8571428571428571,0.7142857142857143,10.714285714285714,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.172089442954128,5.2
Jalen Richard,4200.0,25.47,True,3.0,50.0,23.5,OAK,35.0,1.8333333333333333,5.333333333333333,2.9,0.0,6.166666666666667,5.166666666666667,42.166666666666664,0.0,9.9,0.16666666666666666,0.6666666666666666,4.0,0.0,0.5,0.3333333333333333,3.1666666666666665,0.0,0.7,10.935198106175562,14.4
Doug Martin,4400.0,25.47,True,3.0,50.0,23.5,OAK,78.0,4.5,16.5,3.7,0.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.0,2.4,0.5,1.8333333333333333,3.7,0.0,0.0,0.0,0.0,0.0,0.2,8.003622437413096,9.9
Keith Smith,3000.0,25.47,True,3.0,50.0,23.5,OAK,100.0,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.5,2.3333333333333335,0.0,0.7,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.2,2.922616467284299,1.8
James Conner,7500.0,28.66,True,-8.0,51.0,29.5,PIT,6.0,17.166666666666668,75.5,4.4,1.1666666666666667,5.833333333333333,4.333333333333333,42.833333333333336,0.0,25.2,2.6666666666666665,5.666666666666667,2.1,0.8333333333333334,0.5,0.3333333333333333,1.3333333333333333,0.0,6.7,16.991298890266936,41.2
Stevan Ridley,4000.0,28.66,True,-8.0,51.0,29.5,PIT,99.0,2.0,6.0,3.0,0.0,0.2,0.2,1.0,0.0,0.9,0.2,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.39024673734195,2.3
Roosevelt Nix,3000.0,28.66,True,-8.0,51.0,29.5,PIT,109.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,3.1666666666666665,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.437681224663024,0.0
Jaylen Samuels,3000.0,28.66,True,-8.0,51.0,29.5,PIT,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.216292391142858,1.7
Chris Carson,4300.0,31.28,False,3.0,49.5,23.25,SEA,37.0,15.6,70.4,4.5,0.2,1.8,1.2,12.2,0.0,11.7,1.6,3.2,2.0,0.2,0.2,0.2,2.2,0.0,1.9,14.228640537527411,23.4
Mike Davis,3600.0,31.28,False,3.0,49.5,23.25,SEA,39.0,8.4,38.6,4.6,0.6,2.2,1.8,8.2,0.0,10.7,1.4,8.0,5.7,0.6,0.0,0.0,0.0,0.0,4.4,13.840038995727761,4.5
Rashaad Penny,3900.0,31.28,False,3.0,49.5,23.25,SEA,64.0,6.333333333333333,22.5,3.6,0.0,1.5,1.0,10.333333333333334,0.0,4.3,0.16666666666666666,-0.3333333333333333,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.541420393383362,0.0
Tre Madden,3000.0,31.28,False,3.0,49.5,23.25,SEA,113.0,0.16666666666666666,0.3333333333333333,2.0,0.0,0.3333333333333333,0.16666666666666666,1.1666666666666667,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.710463213006096,0.1
CJ Prosise,3000.0,31.28,False,3.0,49.5,23.25,SEA,91.0,0.0,0.0,0.0,0.0,1.0,1.0,7.333333333333333,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35758756894165,0.0
Matt Breida,5000.0,35.37,False,1.0,43.0,21.0,SF,19.0,9.714285714285714,63.57142857142857,6.5,0.2857142857142857,1.8571428571428572,1.5714285714285714,12.857142857142858,0.14285714285714285,12.1,1.7142857142857142,6.285714285714286,3.7,0.14285714285714285,0.42857142857142855,0.42857142857142855,3.7142857142857144,0.14285714285714285,3.1,19.229980684293515,4.2
Raheem Mostert,3800.0,35.37,False,1.0,43.0,21.0,SF,67.0,3.5714285714285716,22.428571428571427,6.3,0.0,0.8571428571428571,0.8571428571428571,3.5714285714285716,0.0,3.3,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.123314592047366,1.8
Kyle Juszczyk,3400.0,35.37,False,1.0,43.0,21.0,SF,45.0,0.2857142857142857,1.0,3.5,0.0,3.7142857142857144,2.7142857142857144,35.0,0.14285714285714285,7.0,0.14285714285714285,-0.7142857142857143,-5.0,0.0,0.5714285714285714,0.2857142857142857,1.8571428571428572,0.0,0.4,8.538226853834805,1.0
Alfred Morris,3500.0,35.37,False,1.0,43.0,21.0,SF,53.0,10.142857142857142,36.142857142857146,3.6,0.14285714285714285,1.5714285714285714,0.8571428571428571,9.428571428571429,0.0,6.1,1.8571428571428572,2.142857142857143,1.2,0.14285714285714285,0.0,0.0,0.0,0.0,0.9,11.751269281324735,2.8
Peyton Barber,3600.0,31.57,False,4.0,54.5,25.25,TB,54.0,12.333333333333334,43.333333333333336,3.5,0.0,2.0,1.0,6.166666666666667,0.16666666666666666,7.0,1.6666666666666667,0.8333333333333334,0.5,0.0,0.5,0.16666666666666666,0.8333333333333334,0.16666666666666666,1.3,14.121276389803148,14.5
Ronald Jones II,3700.0,31.57,False,4.0,54.5,25.25,TB,71.0,5.666666666666667,15.0,2.6,0.3333333333333333,2.0,1.6666666666666667,10.0,0.0,6.2,1.6666666666666667,4.333333333333333,2.6,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.0,2.9,10.933599568860394,1.1
Jacquizz Rodgers,3000.0,31.57,False,4.0,54.5,25.25,TB,77.0,2.0,3.5,1.8,0.0,1.3333333333333333,1.1666666666666667,9.0,0.0,2.4,0.16666666666666666,1.1666666666666667,7.0,0.0,0.3333333333333333,0.3333333333333333,2.1666666666666665,0.0,0.7,11.779115234260203,6.9
Alan Cross,2500.0,31.57,False,4.0,54.5,25.25,TB,115.0,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,5.20152258958734,0.0
Adrian Peterson,4900.0,25.43,False,-1.0,43.0,22.0,WAS,17.0,16.833333333333332,73.0,4.3,0.5,2.0,1.3333333333333333,24.0,0.0,14.4,3.1666666666666665,5.5,1.7,0.5,0.16666666666666666,0.16666666666666666,1.3333333333333333,0.0,3.8,13.377352147990333,30.6
Chris Thompson,5500.0,25.43,False,-1.0,43.0,22.0,WAS,31.0,5.75,25.0,4.3,0.0,7.75,6.5,50.0,0.25,15.5,0.75,0.25,0.3,0.0,1.0,0.75,6.0,0.25,2.9,16.929637149946288,4.2
Kapri Bibbs,3600.0,25.43,False,-1.0,43.0,22.0,WAS,66.0,2.5,9.0,3.6,0.25,1.75,1.25,12.25,0.25,6.4,0.75,0.75,1.0,0.25,0.0,0.0,0.0,0.0,1.6,8.907731261211476,0.0
