Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
159,Terrance Williams,DAL,WR,3,3,2,66.7,18,0,12,6,9,0,0,0,0,0,0,1.3,3.8
161,Nick Williams,LAR,WR,4,4,2,50,17,0,11,4.2,8.5,0,0,0,0,0,0,0.9,3.7
161,Rashad Greene,JAX,WR,2,3,2,66.7,17,0,9,5.7,8.5,0,0,0,0,0,0,1.8,3.7
163,Brandon Zylstra,MIN,WR,8,1,1,100,23,0,23,23,23,0,0,0,0,0,0,0.4,3.3
164,Michael Floyd,WAS,WR,4,4,1,25,20,0,20,5,20,0,0,0,0,0,0,0.8,3
165,Jeremy Kerley,BUF,WR,1,4,2,50,7,0,4,1.8,3.5,0,0,0,0,0,0,2.7,2.7
166,Charone Peake,NYJ,WR,5,2,1,50,14,0,14,7,14,0,0,0,0,0,0,0.5,2.4
166,Tim White,BAL,WR,3,1,1,100,14,0,14,14,14,0,0,0,0,1,0,0.8,2.4
166,Khadarel Hodge,LAR,WR,5,1,1,100,14,0,14,14,14,0,0,0,0,0,0,0.5,2.4
169,Sammie Coates,HOU,WR,6,2,1,50,12,0,12,6,12,0,0,0,0,0,0,0.4,2.2
169,Josh Malone,CIN,WR,7,4,1,25,12,0,12,3,12,0,0,0,0,0,0,0.3,2.2
171,Justin Hardee,NO,WR,7,1,1,100,10,0,10,10,10,0,0,0,0,0,0,0.3,2
171,J'mon Moore,GB,WR,3,1,1,100,10,0,10,10,10,0,0,0,0,0,0,0.7,2
171,Victor Bolden Jr.,SF,WR,4,4,1,25,10,0,10,2.5,10,0,0,0,0,0,0,0.5,2
174,Russell Gage,ATL,WR,6,1,1,100,9,0,9,9,9,0,0,0,0,0,0,0.3,1.9
174,Cam Phillips,BUF,WR,2,1,1,100,9,0,9,9,9,0,0,0,0,0,0,1,1.9
176,Damiere Byrd,CAR,WR,4,2,1,50,8,0,8,4,8,0,0,0,0,0,0,0.4,1.8
177,Marcus Kemp,KC,WR,8,1,1,100,7,0,7,7,7,0,0,0,0,0,0,0.2,1.7
177,Richie James,SF,WR,5,1,1,100,7,0,7,7,7,0,0,0,0,0,0,0.3,1.7
179,Breshad Perriman,CLE,WR,2,2,1,50,6,0,6,3,6,0,0,0,0,0,0,0.8,1.6
180,Justin Watson,TB,WR,4,1,1,100,5,0,5,5,5,0,0,0,0,0,0,0.4,1.5
181,Cameron Batson,TEN,WR,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0.5,1
182,Mike Wallace,PHI,WR,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Markus Wheaton,PHI,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Deante Burton,GB,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Matthew Slater,NE,WR,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Darrius Heyward-Bey,PIT,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Freddie Martino,TB,WR,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Tommylee Lewis,NO,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Tanner McEvoy,MIA,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Jaydon Mickens,JAX,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
182,Stacy Coley,NYG,WR,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
182,Trey Quinn,WAS,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Trent Sherfield,ARI,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Cam Sims,WAS,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Janarion Grant,BAL,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
182,Robert Tonyan Jr.,GB,WR,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Bradley Marquez,DET,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Pharoh Cooper,LAR,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Mike Thomas,LAR,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Keon Hatcher,OAK,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Jehu Chesson,WAS,WR,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Geremy Davis,LAC,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Jojo Natson,LAR,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Keenan Reynolds,SEA,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Daniel Brown,CHI,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Javon Wims,CHI,WR,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Brice Butler,DAL,WR,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Brandon Tate,NO,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
182,Cayleb Jones,MIN,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Quadree Henderson,NYG,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Leonte Carroo,MIA,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Brandon Powell,DET,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Isaiah McKenzie,DEN,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Kaelin Clay,NYG,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.5,-1
214,Riley McCarron,NE,WR,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1
214,JJ Jones,LAC,WR,3,0,0,0,0,0,0,0,0,1,0,0,0,2,1,-0.3,-1
217,Rod Streater,CLE,WR,3,0,0,0,0,0,0,0,0,1,-11,-11,0,0,0,-0.4,-1.1
