Rank,Name,Team,Position,Week,Opponent,DraftKingsQuarterbackFantasyPointsAllowedAverage,DraftKingsRunningbackFantasyPointsAllowedAverage,DraftKingsWideReceiverFantasyPointsAllowedAverage,DraftKingsTightEndFantasyPointsAllowedAverage,DraftKingsKickerFantasyPointsAllowedAverage,DraftKingsFantasyPointsAllowedAverage
302,Pittsburgh Steelers,PIT,DST,10,CLE,21.58,7.7,51.8,18.5,0,99.58
302,Los Angeles Rams,LAR,DST,4,ARI,19.98,29.5,45.6,4.5,0,99.58
302,Atlanta Falcons,ATL,DST,2,NYG,20.98,26.2,38.3,14.1,0,99.58
305,Tampa Bay Buccaneers,TB,DST,12,IND,23.3,11.3,54,11.1,0,99.7
306,Indianapolis Colts,IND,DST,4,JAX,19.02,15.7,49.1,16.1,0,99.92
307,Kansas City Chiefs,KC,DST,2,DEN,21.24,7.3,57.3,14.1,0,99.94
307,Miami Dolphins,MIA,DST,9,BUF,15.64,48.9,33.8,1.6,0,99.94
309,Seattle Seahawks,SEA,DST,6,CAR,21.76,26.9,17,34.5,0,100.16
310,Carolina Panthers,CAR,DST,3,NO,14.4,41.9,34.9,9.2,0,100.4
311,Minnesota Vikings,MIN,DST,10,OAK,22.28,22.6,34.3,21.5,0,100.68
312,New York Giants,NYG,DST,5,SF,20.78,21.8,42.4,16.1,0,101.08
313,Houston Texans,HOU,DST,13,BUF,29.24,20.4,35,16.6,0,101.24
314,Cincinnati Bengals,CIN,DST,4,KC,20.94,25.3,44.4,10.7,0,101.34
315,Buffalo Bills,BUF,DST,3,MIA,18.78,17.6,58.5,6.9,0,101.78
316,Minnesota Vikings,MIN,DST,14,ARI,23.7,18.9,52.2,7.3,0,102.1
317,Baltimore Ravens,BAL,DST,7,ARI,19.2,33.5,39.6,10.2,0,102.5
317,Buffalo Bills,BUF,DST,12,KC,21.7,23.6,40.3,16.9,0,102.5
319,Tampa Bay Buccaneers,TB,DST,1,TEN,24.46,26.5,35.6,16.1,0,102.66
320,Washington Redskins,WAS,DST,14,CHI,23.1,21.7,38.5,19.5,0,102.8
321,Chicago Bears,CHI,DST,14,WAS,25.3,22.4,23.5,31.7,0,102.9
322,Detroit Lions,DET,DST,13,GB,26.62,14.3,30.4,31.6,0,102.92
323,New York Giants,NYG,DST,3,WAS,19.64,27.5,40.3,15.6,0,103.04
324,Indianapolis Colts,IND,DST,11,ATL,20.9,30,49.7,2.6,0,103.2
325,Buffalo Bills,BUF,DST,6,CIN,21.52,28.2,37.9,15.6,0,103.22
326,Kansas City Chiefs,KC,DST,13,OAK,16.32,30.2,35.9,21.1,0,103.52
327,Oakland Raiders,OAK,DST,3,CLE,23.64,14.3,40.2,25.5,0,103.64
328,Washington Redskins,WAS,DST,15,BUF,27.9,27,41.7,7.3,0,103.9
329,Oakland Raiders,OAK,DST,8,NYJ,24.04,9.9,61.2,8.8,0,103.94
330,Green Bay Packers,GB,DST,9,CAR,34.48,9.8,42.1,18.2,0,104.58
331,Cleveland Browns,CLE,DST,9,CIN,21.66,17.5,37.5,28.3,0,104.96
332,Houston Texans,HOU,DST,4,ATL,13.74,53.9,37.7,0,0,105.34
333,Detroit Lions,DET,DST,8,KC,27.76,42.5,18.3,16.9,0,105.46
334,Kansas City Chiefs,KC,DST,12,BUF,27.24,21.6,48.7,8.1,0,105.64
334,Detroit Lions,DET,DST,5,ARI,18.44,40.1,36.6,10.5,0,105.64
336,Green Bay Packers,GB,DST,3,KC,19.9,33.7,36.5,16,0,106.1
337,Miami Dolphins,MIA,DST,7,HOU,21.92,34.1,50.3,0,0,106.32
338,Pittsburgh Steelers,PIT,DST,6,ARI,21.74,15.6,64.9,4.2,0,106.44
339,Washington Redskins,WAS,DST,7,TB,20.38,32.1,47.3,6.8,0,106.58
340,Cleveland Browns,CLE,DST,15,SEA,26.46,17.4,58,5.2,0,107.06
341,Chicago Bears,CHI,DST,2,ARI,22.2,25,58.7,1.5,0,107.4
342,Detroit Lions,DET,DST,3,DEN,22.86,13.4,53.8,17.4,0,107.46
343,Philadelphia Eagles,PHI,DST,5,NO,21.3,17.8,54.4,14,0,107.5
344,Jacksonville Jaguars,JAX,DST,6,HOU,24.22,27.1,54.4,1.8,0,107.52
345,New England Patriots,NE,DST,10,NYG,25.44,13.4,55.5,13.2,0,107.54
346,Kansas City Chiefs,KC,DST,1,HOU,21.96,14,66.3,5.3,0,107.56
347,San Francisco 49ers,SF,DST,14,CLE,15.3,39,34.1,19.4,0,107.8
348,Arizona Cardinals,ARI,DST,15,PHI,22.84,11.9,46.3,26.9,0,107.94
349,New Orleans Saints,NO,DST,3,CAR,32.9,15.6,19.2,40.3,0,108
350,Chicago Bears,CHI,DST,15,MIN,32.94,37,34.2,4.1,0,108.24
351,Carolina Panthers,CAR,DST,4,TB,16.68,42.6,45.5,3.5,0,108.28
352,San Francisco 49ers,SF,DST,16,DET,24.14,34.3,41.1,8.9,0,108.44
353,Dallas Cowboys,DAL,DST,9,PHI,15.7,45.4,38,9.4,0,108.5
354,Detroit Lions,DET,DST,7,MIN,22.74,27.3,47.5,11.3,0,108.84
355,Buffalo Bills,BUF,DST,13,HOU,24.22,25.6,45.4,13.7,0,108.92
356,Detroit Lions,DET,DST,10,GB,25.12,15.6,37.6,31,0,109.32
357,Atlanta Falcons,ATL,DST,6,NO,19.68,34,17.6,38.5,0,109.78
358,Pittsburgh Steelers,PIT,DST,15,DEN,30.64,6.8,67.5,4.9,0,109.84
359,New Orleans Saints,NO,DST,7,IND,29.02,14.8,56.6,9.7,0,110.12
360,Tennessee Titans,TEN,DST,6,MIA,18.04,27.9,39,25.3,0,110.24
361,Oakland Raiders,OAK,DST,1,CIN,18.86,36.5,20.6,34.4,0,110.36
362,Los Angeles Rams,LAR,DST,10,CHI,24.72,44.8,5.4,35.5,0,110.42
363,New York Giants,NYG,DST,10,NE,23.26,17.5,37.3,32.4,0,110.46
364,Carolina Panthers,CAR,DST,13,NO,23.48,21.1,46.1,19.8,0,110.48
365,Dallas Cowboys,DAL,DST,14,GB,19.12,53.7,29.1,8.6,0,110.52
366,Green Bay Packers,GB,DST,8,DEN,15.6,39,39.5,16.5,0,110.6
367,Cincinnati Bengals,CIN,DST,3,BAL,24.48,12.8,55.4,18.3,0,110.98
368,Baltimore Ravens,BAL,DST,8,LAC,27.04,23,46.5,14.7,0,111.24
369,Los Angeles Chargers,LAC,DST,12,JAX,26.46,16.4,33.2,35.2,0,111.26
370,Washington Redskins,WAS,DST,6,NYJ,26.22,40.6,44.7,0,0,111.52
371,New England Patriots,NE,DST,12,DEN,14.2,47.5,37.2,12.8,0,111.7
372,New England Patriots,NE,DST,2,BUF,28.98,26.3,44.5,12.1,0,111.88
373,New Orleans Saints,NO,DST,1,ARI,28.68,29.8,33.9,19.6,0,111.98
374,Tennessee Titans,TEN,DST,14,NYJ,24.82,37.4,49.9,0,0,112.12
375,Pittsburgh Steelers,PIT,DST,5,LAC,24.6,28,19.5,40.2,0,112.3
376,Philadelphia Eagles,PHI,DST,15,ARI,14.76,54.6,34.6,8.4,0,112.36
377,San Francisco 49ers,SF,DST,6,BAL,22.72,24.4,53.2,12.4,0,112.72
378,Atlanta Falcons,ATL,DST,4,HOU,22.28,21.2,57,12.4,0,112.88
379,Arizona Cardinals,ARI,DST,11,CIN,26,43.8,26,17.2,0,113
380,New York Jets,NYJ,DST,9,JAX,26.44,13.3,63.7,9.7,0,113.14
381,New Orleans Saints,NO,DST,6,ATL,19.8,47.1,36.4,10,0,113.3
382,Pittsburgh Steelers,PIT,DST,1,NE,27.62,18.3,27.9,39.5,0,113.32
383,Kansas City Chiefs,KC,DST,4,CIN,21.44,39.9,42.1,9.9,0,113.34
384,Cleveland Browns,CLE,DST,3,OAK,23.46,35.3,52.9,1.8,0,113.46
384,Jacksonville Jaguars,JAX,DST,2,MIA,27.06,20.2,47.2,19,0,113.46
386,New Orleans Saints,NO,DST,15,DET,22.06,48,31.6,11.9,0,113.56
387,Arizona Cardinals,ARI,DST,5,DET,19.36,30.1,54.1,10.1,0,113.66
388,New England Patriots,NE,DST,16,NYJ,24.14,25.8,63.8,0,0,113.74
389,Indianapolis Colts,IND,DST,5,HOU,24.88,29.3,56.5,3.2,0,113.88
389,Miami Dolphins,MIA,DST,3,BUF,24.08,29.5,41.1,19.2,0,113.88
391,Washington Redskins,WAS,DST,9,NE,18.76,44.1,40.9,10.2,0,113.96
392,Miami Dolphins,MIA,DST,10,PHI,19.08,38.3,22.6,34.2,0,114.18
393,Seattle Seahawks,SEA,DST,5,CIN,31.04,17.4,36.8,29,0,114.24
394,New York Giants,NYG,DST,2,ATL,21.42,29.9,51.4,11.7,0,114.42
395,Houston Texans,HOU,DST,6,JAX,28.94,14.8,48.3,22.6,0,114.64
396,Tampa Bay Buccaneers,TB,DST,5,JAX,32.22,16.5,62.2,4,0,114.92
397,Cleveland Browns,CLE,DST,4,LAC,29.22,24.4,39.2,22.4,0,115.22
398,Atlanta Falcons,ATL,DST,1,PHI,18.44,49.4,38.3,9.2,0,115.34
399,Tampa Bay Buccaneers,TB,DST,14,NO,23.48,20.4,55.9,15.6,0,115.38
400,Indianapolis Colts,IND,DST,14,JAX,27.7,23,41.8,22.9,0,115.4
401,Detroit Lions,DET,DST,6,CHI,23.32,29.6,50.7,11.9,0,115.52
402,Tennessee Titans,TEN,DST,12,OAK,27.7,12.9,66.6,8.4,0,115.6
403,Jacksonville Jaguars,JAX,DST,10,BAL,26.34,23.4,31.7,34.7,0,116.14
404,Los Angeles Chargers,LAC,DST,7,OAK,23.86,28,47.2,17.4,0,116.46
405,Indianapolis Colts,IND,DST,7,NO,13.8,52.7,26,24,0,116.5
406,New England Patriots,NE,DST,1,PIT,22.04,23.9,54.2,16.4,0,116.54
407,Cincinnati Bengals,CIN,DST,11,ARI,29.58,19.8,58.4,8.8,0,116.58
408,New York Jets,NYJ,DST,7,NE,32.7,5.7,41.3,37.6,0,117.3
409,New York Jets,NYJ,DST,12,MIA,27.04,17.1,69,4.2,0,117.34
410,San Francisco 49ers,SF,DST,3,ARI,22.24,38.7,48.8,7.7,0,117.44
411,Los Angeles Chargers,LAC,DST,4,CLE,26.24,43.6,28.5,19.5,0,117.84
412,Los Angeles Chargers,LAC,DST,9,CHI,22.6,29.1,36.5,30,0,118.2
413,Philadelphia Eagles,PHI,DST,9,DAL,24.66,16.2,67.1,10.3,0,118.26
414,Los Angeles Rams,LAR,DST,15,TB,24.02,20.9,45.1,28.4,0,118.42
415,New England Patriots,NE,DST,6,IND,30.98,14,60.8,13,0,118.78
416,Indianapolis Colts,IND,DST,6,NE,26.48,30.3,42.6,19.9,0,119.28
417,Pittsburgh Steelers,PIT,DST,2,SF,30.5,15.9,57.3,16.3,0,120
418,Indianapolis Colts,IND,DST,3,TEN,23.68,31.3,42.9,22.3,0,120.18
419,Atlanta Falcons,ATL,DST,14,CAR,24.24,30.7,47.8,17.6,0,120.34
420,Tampa Bay Buccaneers,TB,DST,7,WAS,34.18,9.9,42.6,33.7,0,120.38
421,Miami Dolphins,MIA,DST,15,LAC,25.34,54.1,23,18.1,0,120.54
422,Minnesota Vikings,MIN,DST,13,SEA,35.46,34.2,43.1,7.9,0,120.66
423,Jacksonville Jaguars,JAX,DST,12,LAC,31.9,23.9,41.9,24.2,0,121.9
424,Baltimore Ravens,BAL,DST,3,CIN,35.32,13.4,73.5,0,0,122.22
425,Dallas Cowboys,DAL,DST,4,NO,25.36,50.8,31.3,15.1,0,122.56
426,Washington Redskins,WAS,DST,11,CAR,31.64,32.2,44.5,14.4,0,122.74
427,Miami Dolphins,MIA,DST,12,NYJ,29.18,23.8,70.5,0,0,123.48
428,Washington Redskins,WAS,DST,16,PHI,21.6,37.7,34.4,30,0,123.7
429,New York Giants,NYG,DST,1,DAL,27.14,33.2,28.7,34.8,0,123.84
430,Jacksonville Jaguars,JAX,DST,13,TEN,40.92,17.8,33.5,32.3,0,124.52
431,Detroit Lions,DET,DST,15,NO,29.74,17.1,60.9,16.9,0,124.64
432,San Francisco 49ers,SF,DST,11,SEA,25.4,47.7,39.7,12.1,0,124.9
433,Tennessee Titans,TEN,DST,9,NO,35.38,14.6,47.1,28.2,0,125.28
434,Carolina Panthers,CAR,DST,15,NYG,25.2,43,41.2,17,0,126.4
435,Oakland Raiders,OAK,DST,2,BAL,25.56,29.4,44.1,27.6,0,126.66
436,New York Giants,NYG,DST,13,NYJ,28.8,36.1,60.9,1.8,0,127.6
437,Dallas Cowboys,DAL,DST,3,ATL,23.1,46.7,52.5,5.4,0,127.7
438,Pittsburgh Steelers,PIT,DST,9,OAK,30.34,21.1,63.9,12.7,0,128.04
439,Cleveland Browns,CLE,DST,10,PIT,31.88,10.7,76.5,9.2,0,128.28
440,Miami Dolphins,MIA,DST,14,NYG,31.28,17.1,66,14,0,128.38
441,Tampa Bay Buccaneers,TB,DST,8,ATL,25.08,25.8,46.8,31,0,128.68
442,Carolina Panthers,CAR,DST,9,GB,36.96,27,45.9,18.9,0,128.76
443,Philadelphia Eagles,PHI,DST,13,NE,37.78,39.7,35.44,16.1,0,129.02
444,Buffalo Bills,BUF,DST,15,WAS,38.86,14.6,49.1,27.4,0,129.96
445,Los Angeles Rams,LAR,DST,13,ARI,25.18,33.9,65.6,5.5,0,130.18
446,New Orleans Saints,NO,DST,5,PHI,22.62,48.3,34.9,24.4,0,130.22
447,New York Jets,NYJ,DST,8,OAK,32.12,34.9,58.5,4.9,0,130.42
448,Baltimore Ravens,BAL,DST,14,SEA,32.34,12.8,79.5,5.8,0,130.44
449,Miami Dolphins,MIA,DST,8,NE,33.34,31.9,37.9,28.2,0,131.34
450,Cleveland Browns,CLE,DST,8,ARI,33.56,18.7,60.9,19.1,0,132.26
450,New Orleans Saints,NO,DST,10,WAS,31.96,54.6,25.4,20.3,0,132.26
452,Baltimore Ravens,BAL,DST,2,OAK,30.34,22.8,72.2,7.5,0,132.84
453,Oakland Raiders,OAK,DST,7,LAC,30.44,49.4,33.2,20,0,133.04
454,Seattle Seahawks,SEA,DST,10,ARI,26.32,25.4,66.1,15.7,0,133.52
455,Philadelphia Eagles,PHI,DST,11,TB,29.84,42.9,48.3,13.7,0,134.74
456,Detroit Lions,DET,DST,1,LAC,24.92,33,58.7,18.4,0,135.02
457,Denver Broncos,DEN,DST,15,PIT,27.9,16.6,86.8,4.2,0,135.5
458,New Orleans Saints,NO,DST,16,JAX,34.22,15.1,77.5,9.2,0,136.02
459,Tennessee Titans,TEN,DST,13,JAX,35.78,26.9,62.7,11.2,0,136.58
460,New Orleans Saints,NO,DST,9,TEN,36.34,17.8,35.7,47.3,0,137.14
461,Houston Texans,HOU,DST,7,MIA,27.94,52.3,52.5,5,0,137.74
462,Philadelphia Eagles,PHI,DST,16,WAS,35.2,29,37.7,36.9,0,138.8
463,Kansas City Chiefs,KC,DST,3,GB,37.92,19.5,74.6,6.9,0,138.92
464,Seattle Seahawks,SEA,DST,12,PIT,26.4,29.9,68.2,14.9,0,139.4
465,Pittsburgh Steelers,PIT,DST,12,SEA,38.2,17.3,72.1,13.7,0,141.3
466,Chicago Bears,CHI,DST,6,DET,37.9,22.2,71.4,10.7,0,142.2
467,San Francisco 49ers,SF,DST,2,PIT,33.36,32.3,65.9,11.5,0,143.06
468,Philadelphia Eagles,PHI,DST,12,DET,37.78,42.6,55.7,7.9,0,143.98
469,Baltimore Ravens,BAL,DST,5,CLE,38.48,30.4,41.2,34.2,0,144.28
470,Green Bay Packers,GB,DST,6,LAC,31.12,24.3,58,31,0,144.42
471,New York Giants,NYG,DST,15,CAR,48.6,15.9,60.3,19.9,0,144.7
472,Jacksonville Jaguars,JAX,DST,3,NE,25.52,53.3,45.2,21.6,0,145.62
473,San Francisco 49ers,SF,DST,5,NYG,32.74,35.7,53.4,24.3,0,146.14
474,Jacksonville Jaguars,JAX,DST,16,NO,31.18,55.3,47.3,13.4,0,147.18
475,Oakland Raiders,OAK,DST,9,PIT,28.52,41.8,62.5,15.5,0,148.32
476,Buffalo Bills,BUF,DST,2,NE,32.24,27.7,53.8,35.1,0,148.84
477,Indianapolis Colts,IND,DST,13,PIT,36.76,26.7,81.3,6,0,150.76
478,New Orleans Saints,NO,DST,13,CAR,40.14,33.5,47.6,29.6,0,150.84
479,New Orleans Saints,NO,DST,8,NYG,41,33.8,73,4.9,0,152.7
480,New York Giants,NYG,DST,8,NO,49.3,31.2,82.3,34.2,0,197
