Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
59,MyCole Pruitt,TEN,TE,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Anthony Firkser,TEN,TE,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Ryan Hewitt,IND,TE,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Jacob Hollister,NE,TE,3,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Rico Gathers,DAL,TE,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Khari Lee,BUF,TE,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Hayden Hurst,BAL,TE,3,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Brian Parker,DEN,TE,3,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,David Grinnage,JAX,TE,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Tyrone Swoopes,SEA,TE,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Blake Bell,JAX,TE,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
