Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
119,Shelton Gibson,PHI,WR,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Deante Burton,GB,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Russell Gage,ATL,WR,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Matthew Slater,NE,WR,8,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Darrius Heyward-Bey,PIT,WR,5,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Danny Amendola,MIA,WR,8,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Jeremy Kerley,BUF,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Doug Baldwin,SEA,WR,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Rishard Matthews,NYJ,WR,4,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Deonte Thompson,DAL,WR,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Travis Benjamin,LAC,WR,3,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Russell Shepard,NYG,WR,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Justin Hunter,PIT,WR,4,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Terrance Williams,DAL,WR,3,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Cody Latimer,NYG,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Freddie Martino,TB,WR,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Sammie Coates,HOU,WR,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,JJ Nelson,ARI,WR,8,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Kaelin Clay,NYG,WR,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Darius Jennings,TEN,WR,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Damiere Byrd,CAR,WR,4,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Josh Doctson,WAS,WR,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Chris Moore,BAL,WR,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Tommylee Lewis,NO,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Tanner McEvoy,MIA,WR,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Jaydon Mickens,JAX,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Josh Malone,CIN,WR,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Stacy Coley,NYG,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Tim Patrick,DEN,WR,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Austin Carr,NO,WR,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Marcus Kemp,KC,WR,8,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Justin Hardee,NO,WR,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Riley McCarron,NE,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Brandon Zylstra,MIN,WR,8,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,D.J. Chark,JAX,WR,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Dante Pettis,SF,WR,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Tre'Quan Smith,NO,WR,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Daesean Hamilton,DEN,WR,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Trey Quinn,WAS,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Trent Sherfield,ARI,WR,5,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Robert Foster,BUF,WR,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Vyncint Smith,HOU,WR,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,JJ Jones,LAC,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Derrick Willies,CLE,WR,5,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Cam Sims,WAS,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Janarion Grant,BAL,WR,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Randall Cobb,GB,WR,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Kevin White,CHI,WR,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Robert Tonyan Jr.,GB,WR,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Equanimeous St. Brown,GB,WR,4,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Andre Roberts,NYJ,WR,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,TJ Jones,DET,WR,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Bradley Marquez,DET,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Pharoh Cooper,LAR,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Charone Peake,NYJ,WR,5,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Robby Anderson,NYJ,WR,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Mike Thomas,LAR,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Keon Hatcher,OAK,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Marcus Johnson,IND,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Brian Quick,WAS,WR,5,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Jehu Chesson,WAS,WR,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Geremy Davis,LAC,WR,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Devante Parker,MIA,WR,3,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Kamar Aiken,PHI,WR,5,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Jojo Natson,LAR,WR,5,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Richie James,SF,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Keenan Reynolds,SEA,WR,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Daniel Brown,CHI,WR,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Ray-Ray McCloud,BUF,WR,5,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Tim White,BAL,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Cody Core,CIN,WR,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Jordan Matthews,PHI,WR,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Dan Arnold,NO,WR,3,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Khadarel Hodge,LAR,WR,5,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Brice Butler,DAL,WR,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Rod Streater,CLE,WR,3,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,J'mon Moore,GB,WR,3,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Justin Watson,TB,WR,4,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Brandon Tate,NO,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Jawill Davis,NYG,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Javon Wims,CHI,WR,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Nick Williams,LAR,WR,4,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Cayleb Jones,MIN,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Rashad Greene,JAX,WR,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Michael Floyd,WAS,WR,4,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Cameron Batson,TEN,WR,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Deontay Burnett,NYJ,WR,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Dontrelle Inman,IND,WR,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Cam Phillips,BUF,WR,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Breshad Perriman,CLE,WR,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Quadree Henderson,NYG,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Leonte Carroo,MIA,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Brandon Powell,DET,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Isaiah McKenzie,DEN,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
216,Dwayne Harris,OAK,WR,6,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,-0.1
217,Julio Jones,ATL,WR,7,4,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.1,-1
