Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1668,Alex Erickson,CIN,WR,16,HOU,1,1,100,5,0,5,5,5,0,0,0,0,1,0,1.5,1.5
1668,Bennie Fowler,DEN,WR,16,KC,2,1,50,5,0,5,2.5,5,0,0,0,0,0,0,1.5,1.5
1668,Aaron Burbridge,SF,WR,7,TB,2,1,50,15,0,15,7.5,15,0,0,0,0,1,1,1.5,1.5
1691,DeAndre Hopkins,HOU,WR,4,TEN,6,1,16.7,4,0,4,0.7,4,0,0,0,0,0,0,1.4,1.4
1691,Adam Humphries,TB,WR,4,DEN,4,1,25,4,0,4,1,4,0,0,0,0,0,0,1.4,1.4
1691,Aldrick Robinson,ATL,WR,3,NO,2,1,50,4,0,4,2,4,0,0,0,0,0,0,1.4,1.4
1691,Andrew Hawkins,CLE,WR,14,CIN,1,1,100,4,0,4,4,4,0,0,0,0,0,0,1.4,1.4
1691,Victor Cruz,NYG,WR,14,DAL,4,1,25,4,0,4,1,4,0,0,0,0,0,0,1.4,1.4
1691,Will Fuller,HOU,WR,5,MIN,6,1,16.7,4,0,4,0.7,4,0,0,0,0,0,0,1.4,1.4
1691,Anquan Boldin,DET,WR,8,HOU,3,1,33.3,4,0,4,1.3,4,0,0,0,0,0,0,1.4,1.4
1691,Tyrell Williams,LAC,WR,8,DEN,6,1,16.7,4,0,4,0.7,4,0,0,0,0,0,0,1.4,1.4
1691,Josh Bellamy,CHI,WR,8,MIN,2,1,50,4,0,4,2,4,0,0,0,0,0,0,1.4,1.4
1691,Deonte Thompson,CHI,WR,7,GB,2,1,50,4,0,4,2,4,0,0,0,0,0,0,1.4,1.4
1691,Albert Wilson,KC,WR,7,NO,1,1,100,4,0,4,4,4,0,0,0,0,0,0,1.4,1.4
1691,Sammie Coates,PIT,WR,7,NE,1,1,100,4,0,4,4,4,0,0,0,0,0,0,1.4,1.4
1691,George Farmer,SEA,WR,12,TB,2,1,50,4,0,4,2,4,0,0,0,0,0,0,1.4,1.4
1691,De'Anthony Thomas,KC,WR,12,DEN,1,1,100,4,0,4,4,4,0,0,0,0,0,0,1.4,1.4
1691,Ryan Grant,WAS,WR,11,GB,1,1,100,4,0,4,4,4,0,0,0,0,0,0,1.4,1.4
1691,Bennie Fowler,DEN,WR,9,OAK,1,1,100,4,0,4,4,4,0,0,0,0,0,0,1.4,1.4
1707,Torrey Smith,SF,WR,4,DAL,2,1,50,3,0,3,1.5,3,0,0,0,0,0,0,1.3,1.3
1707,Chris Hogan,NE,WR,3,HOU,3,1,33.3,3,0,3,1,3,0,0,0,0,0,0,1.3,1.3
1707,Terrelle Pryor,CLE,WR,14,CIN,3,1,33.3,3,0,3,1,3,0,0,0,0,0,0,1.3,1.3
1707,Dontrelle Inman,LAC,WR,5,OAK,3,1,33.3,3,0,3,1,3,0,0,0,0,0,0,1.3,1.3
1707,Jordan Payton,CLE,WR,8,NYJ,1,1,100,3,0,3,3,3,0,0,0,0,0,0,1.3,1.3
1707,Corey Brown,CAR,WR,8,ARI,5,1,20,3,0,3,0.6,3,0,0,0,0,0,0,1.3,1.3
1707,Tyler Boyd,CIN,WR,7,CLE,3,1,33.3,3,0,3,1,3,0,0,0,0,0,0,1.3,1.3
1707,Brian Quick,LAR,WR,12,NO,3,1,33.3,3,0,3,1,3,0,0,0,0,0,0,1.3,1.3
1707,Harry Douglas,TEN,WR,11,IND,1,1,100,3,0,3,3,3,0,0,0,0,0,0,1.3,1.3
1707,Pharoh Cooper,LAR,WR,9,CAR,1,1,100,3,0,3,3,3,0,0,0,0,0,0,1.3,1.3
1707,Corey Brown,CAR,WR,10,KC,1,1,100,3,0,3,3,3,0,0,0,0,0,0,1.3,1.3
1707,Jamison Crowder,WAS,WR,16,CHI,2,1,50,3,0,3,1.5,3,0,0,0,0,0,0,1.3,1.3
1707,Albert Wilson,KC,WR,16,DEN,1,1,100,3,0,3,3,3,0,0,0,0,0,0,1.3,1.3
1720,Chris Moore,BAL,WR,3,JAX,1,1,100,2,0,2,2,2,0,0,0,0,0,0,1.2,1.2
1720,Markus Wheaton,PIT,WR,3,PHI,5,1,20,2,0,2,0.4,2,0,0,0,0,0,0,1.2,1.2
1720,Charles Johnson,MIN,WR,5,HOU,1,1,100,2,0,2,2,2,0,0,0,0,0,0,1.2,1.2
1720,Aldrick Robinson,ATL,WR,10,PHI,1,1,100,2,0,2,2,2,0,0,0,0,0,0,1.2,1.2
1720,Roger Lewis,NYG,WR,10,CIN,4,1,25,2,0,2,0.5,2,0,0,0,0,0,0,1.2,1.2
1720,Jarius Wright,MIN,WR,15,IND,2,1,50,2,0,2,1,2,0,0,0,0,0,0,1.2,1.2
1726,Arrelious Benn,JAX,WR,4,IND,2,1,50,1,0,1,0.5,1,0,0,0,0,0,0,1.1,1.1
